,text,blockInfo
20,"I= Eedi
Ⓒ Eedi 2018
How many lines of symmetry does this shape have?
A
0
B
1
2
D
4","[[48.5, 20.0], [41.0, 465.0], [318.5, 302.0], [96.5, 374.0], [95.0, 422.0], [245.0, 374.5], [246.5, 421.5], [395.0, 421.0], [544.0, 374.5], [544.0, 422.0]]"
21,"I= Eedi
Ⓒ Eedi 2018
A
1
|00
8
A group of 8 friends share £6 equally.
What fraction of the money do they each get?
B
3
ܚ | ܟ
4
1
6
D
816
VA","[[48.0, 21.0], [41.0, 465.0], [93.0, 291.0], [99.5, 347.5], [97.5, 369.5], [99.5, 373.5], [319.0, 140.0], [242.5, 291.0], [243.5, 344.5], [242.5, 357.5], [241.5, 371.0], [391.5, 360.5], [540.5, 290.5], [538.0, 359.0], [619.0, 21.0]]"
22,"I= Eedi
© 2018
A
18
18
3
27 = x 9 =
Which numbers belong in the gaps?
B
x3 x3 =____¹
339
C
333
D
18
3
9
PRO","[[23.5, 10.5], [19.5, 232.5], [47.0, 141.0], [45.5, 185.5], [103.0, 54.0], [159.5, 78.5], [121.5, 141.5], [214.5, 54.0], [119.0, 183.5], [196.5, 141.0], [193.5, 182.5], [271.0, 141.0], [268.5, 177.0], [268.0, 198.0], [309.5, 12.5]]"
23,"I= Eedi
What is the area
of this compound
shape made with
rectangles?
A
72 cm²
Ⓒ Eedi 2018
B
39 cm²
3 cm
5 cm
42 cm²
8 cm
9 cm
D
51 cm²
[not to scale]","[[48.0, 20.0], [135.5, 134.0], [93.0, 327.0], [90.5, 376.5], [41.0, 465.0], [242.0, 326.0], [240.0, 377.5], [358.5, 197.5], [421.5, 152.0], [390.5, 376.5], [460.0, 245.5], [548.5, 159.0], [540.0, 326.5], [540.0, 377.5], [600.5, 58.0]]"
24,"I= Eedi
Ⓒ Eedi 2018
Which calculation is incorrect?
A (-7) x 2 = -14
7 x 2 = 14
B
D
(-7) × (-2) = -14
7x (-2) = -14
HX4-4","[[48.0, 20.0], [41.0, 465.0], [335.5, 98.0], [175.0, 183.0], [188.0, 317.5], [381.0, 178.5], [382.0, 308.5], [500.5, 183.5], [492.0, 311.5], [618.5, 23.5]]"
25,"I= Eedi
Problem 1: A box contains 10 crystals. Another box has 12 more
crystals. How many crystals are the in total?
Problem 2: A box contains 10 crystals. Another box has 12 times
as many crystals. How many crystals are there in total?
Which of these problems needs multiplication to solve it?
A
Only
Problem 1
Ⓒ Eedi 2018
B
Only
Problem 2
C
Both
problems
D
Neither
problem","[[48.0, 20.0], [328.5, 108.0], [328.0, 210.0], [93.0, 332.0], [90.5, 396.5], [41.0, 465.0], [242.5, 332.5], [240.5, 396.5], [391.0, 332.0], [395.5, 397.0], [540.0, 332.5], [544.0, 396.0]]"
26,"I= Eedi
A
10 hours
Ⓒ Eedi 2018
5 hours + 500 minutes =
B
8 hours and
20 minutes
13 hours and
20 minutes
D
13 hours and
33 minutes","[[48.0, 20.0], [92.0, 306.0], [95.5, 369.5], [41.0, 465.0], [325.5, 164.5], [242.5, 306.0], [251.5, 379.5], [393.5, 379.0], [540.5, 307.0], [546.5, 379.0]]"
27,"I= Eedi
Ⓒ Eedi 2018
A
-3
B
1
3x (-9)
9
27
=
C
-27
I
D
1
27","[[48.5, 20.5], [41.0, 465.0], [93.5, 324.0], [91.5, 381.0], [242.0, 324.5], [304.5, 178.0], [247.5, 384.5], [380.0, 184.0], [391.0, 325.0], [389.5, 381.0], [524.5, 384.5], [540.0, 324.5], [546.5, 382.5]]"
28,"I= Eedi
""If 15 is a common factor of the numbers Mand N, then
5 is also a common factor of the numbers Mand N""
Ⓒ Eedi 2018
A
always true
B
Is this statement...
sometimes true
C
never true
D
Impossible to say
without more
information","[[48.0, 20.0], [335.0, 99.0], [41.0, 465.0], [93.5, 283.0], [97.0, 349.5], [242.5, 283.0], [336.0, 163.5], [244.5, 349.0], [393.5, 283.0], [393.5, 349.5], [542.0, 282.5], [551.5, 375.5]]"
29,"I= Eedi
Ⓒ Eedi 2018
A
15
(-12)+(-3) =
B
-15
-4
D
4","[[48.0, 20.0], [41.0, 465.0], [127.5, 272.0], [123.0, 342.0], [325.0, 154.5], [269.0, 272.0], [262.5, 341.0], [391.0, 342.5], [517.0, 272.5], [518.5, 341.5]]"
30,"I= Eedi
Tom and Katie are talking about different ways
of writing the expression on the right.
Tom says you could write it as: 2(4g + 10)
Katie says you could write it as : 8(g + 5)
Ⓒ Eedi 2018
A
Only
Tom
Who is correct?
B
Only
Katie
O
Both Tom
and Katie
8g + 20
D
Neither is
correct","[[48.0, 20.0], [206.5, 143.5], [41.0, 465.0], [93.0, 332.0], [93.0, 396.0], [206.5, 256.5], [242.5, 332.0], [242.5, 397.0], [393.0, 332.0], [400.0, 395.5], [532.0, 129.0], [540.0, 332.5], [545.5, 396.0]]"
31,"I= Eedi
Ⓒ Eedi 2018
A
6
(-4) × (-2) =
B
-6
8
D
-8","[[48.0, 20.0], [41.0, 465.0], [127.5, 272.0], [127.5, 341.0], [319.5, 154.5], [269.0, 272.0], [261.0, 342.0], [393.0, 342.5], [517.0, 272.5], [518.0, 342.5]]"
32,"I= Eedi
Ⓒ Eedi 2018
A
413
What should replace the question mark?
219
B
9
2
1.
314
-
=
219
314
D
4
VA","[[48.5, 20.0], [41.0, 465.0], [94.5, 314.5], [91.5, 380.5], [332.5, 93.0], [249.5, 186.0], [243.0, 314.0], [243.5, 382.0], [273.5, 193.0], [293.0, 192.5], [292.0, 192.5], [321.0, 191.0], [346.5, 187.5], [392.0, 378.0], [541.5, 314.5], [540.0, 383.0], [619.0, 21.5]]"
33,"I= Eedi
Written as a decimal, what number is the arrow pointing to?
↓
Ⓒ Eedi 2018
A
0.375
14
B
0.3
314
0.38
0.333...","[[48.5, 20.5], [318.0, 97.0], [41.0, 465.0], [93.5, 283.0], [95.5, 348.0], [216.0, 190.0], [242.5, 283.0], [244.5, 347.5], [427.5, 195.5], [400.0, 347.5], [551.0, 346.5]]"
34,"I= Eedi
Ⓒ Eedi 2018
A
-27
(-3)³
B
27
=
-9
D
9","[[48.0, 20.0], [41.0, 465.0], [127.5, 272.0], [128.5, 329.5], [310.5, 152.5], [269.0, 272.0], [262.0, 328.0], [365.5, 154.0], [391.5, 329.0], [517.0, 272.5], [519.5, 328.0]]"
35,"I= Eedi
Ⓒ Eedi 2018
What is the highest common factor of 6, 9 and 18?
A
1
B
3
6
D
18
VA","[[48.0, 20.0], [41.0, 465.0], [306.5, 169.5], [93.0, 283.0], [95.0, 346.5], [242.5, 283.0], [242.5, 347.5], [391.5, 347.5], [540.0, 287.0], [542.5, 347.5], [619.0, 21.5]]"
36,"I= Eedi
Tom and Katie are trying to work out an
expression for the area of the whole
triangle.
pr
Tom says you can do: +9
Katie says you can do: -
Ⓒ Eedi 2018
A
Only
Tom
(p+q)x r
2
Who is correct?
B
Only
Katie
P
Both Tom
and Katie
r
q
D
Neither is
correct
VA","[[188.0, 68.0], [188.5, 167.0], [156.5, 232.0], [41.0, 465.0], [92.5, 359.0], [92.5, 418.5], [287.5, 232.5], [189.0, 286.5], [242.0, 360.0], [242.0, 420.0], [430.0, 241.5], [400.0, 419.0], [486.0, 174.0], [532.0, 242.5], [540.0, 359.5], [544.5, 418.0], [619.0, 21.0]]"
37,"I= Eedi
Problem 1: A bucket contains 423 red balls and 549 blue balls.
How many balls are there in total?
Problem 2: A bucket contains 423 red balls and 549 blue balls.
How many more blue balls than red balls are there?
Which of these problems needs multiplication to solve it?
A
Only
Problem 1
Ⓒ Eedi 2018
B
Only
Problem 2
C
Both
problems
D
Neither
problem","[[48.0, 20.0], [328.5, 108.0], [328.5, 210.5], [93.0, 332.0], [90.5, 396.5], [41.0, 465.0], [242.5, 332.5], [240.5, 396.5], [391.0, 332.0], [395.5, 397.0], [540.0, 332.5], [544.0, 396.0]]"
38,"I= Eedi
Tom and Katie are arguing
about creating inequalities
using the diagram on the
right.
Tom says: 5g > 4p
Katie says: 5g < 7r
Ⓒ Eedi 2018
Who is correct?
A
Only
Tom
B
Only
Katie
Р
g
Both Tom
and Katie
r
p,g,r and w are positive numbers.
W
D
Neither is
correct","[[138.5, 81.5], [146.5, 218.5], [40.5, 465.0], [145.5, 294.5], [92.5, 354.5], [92.5, 418.0], [242.0, 355.0], [243.0, 419.0], [389.5, 241.0], [473.0, 242.0], [400.0, 418.0], [535.5, 243.5], [477.0, 308.5], [581.5, 244.0], [540.0, 353.5], [544.5, 417.5]]"
39,"I= Eedi
Ⓒ Eedi 2018
A
Which angle is corresponding to angle p?
A
B
р
C
D
B
D
VA","[[48.0, 20.0], [41.0, 465.0], [106.0, 414.0], [318.5, 65.0], [219.0, 271.5], [256.5, 414.0], [280.0, 312.0], [351.0, 194.5], [370.0, 246.5], [414.0, 234.5], [554.0, 414.0], [619.0, 21.0]]"
40,"I= Eedi
Think of a number,
then subtract 5,
next divide by 8,
next add 4,
and finally multiply by
7.
Ⓒ Eedi 2018
A
Only
Jo
B
Only
Paul
Jo says you can write this as:
(n = 5)
-
8
7(
- + 4)
Paul says you can write this as:
7((n-5)+ 8) + 4
Who is correct?
Both Jo
and Paul
D
Neither is
correct","[[48.5, 21.0], [113.0, 109.5], [123.5, 168.5], [41.0, 465.0], [93.0, 332.0], [93.0, 395.0], [242.0, 332.0], [242.0, 397.0], [412.5, 113.0], [355.5, 127.0], [458.0, 127.5], [414.5, 201.0], [413.5, 265.0], [393.5, 396.5], [540.0, 332.5], [545.5, 396.0]]"
41,"I= Eedi
Which length do you
not need when
calculating the area of
the parallelogram?
Ⓒ Eedi 2018
A
a
B
b
C
b
a
You need
them all
VA","[[48.0, 21.0], [153.0, 163.0], [41.0, 465.0], [93.0, 347.0], [92.0, 401.5], [241.5, 347.0], [239.0, 399.0], [392.0, 346.5], [438.5, 227.5], [460.5, 173.5], [539.5, 401.5], [619.0, 21.5]]"
42,"I= Eedi
Ⓒ Eedi 2018
A
4m²
of a litre of paint can cover 1 m².
What area can 4 litres of paint cover?
B
9 m²
16
m²
O
36
16
m²","[[48.0, 20.0], [41.0, 465.0], [93.0, 283.0], [91.0, 339.5], [326.5, 159.0], [242.5, 283.0], [240.5, 340.5], [378.0, 333.5], [403.5, 346.5], [540.5, 284.0], [527.0, 347.5], [554.0, 347.5]]"
43,"I= Eedi
© 2018
A
1
Which of these is not a factor of 36?
B
8
C
9
D
36
PH","[[23.5, 10.5], [19.5, 232.5], [46.5, 142.5], [47.0, 174.0], [155.0, 81.5], [121.0, 141.0], [120.0, 174.0], [196.5, 141.5], [195.0, 174.0], [270.0, 141.0], [269.0, 173.5], [311.0, 9.0]]"
44,"I= Eedi
Jo and Paul are arguing about the
diagram on the right.
Jo says it shows: p + q < 90°
Paul says it shows: p = q
Ⓒ Eedi 2018
A
Who is correct?
Only
Jo
B
Only
Paul
C
qº
pº
Both Jo
and Paul
[not to scale]
D
Neither is
correct","[[48.5, 20.5], [177.5, 145.0], [41.0, 465.0], [92.5, 332.0], [177.0, 259.5], [93.0, 395.0], [242.5, 332.0], [242.0, 397.0], [393.5, 333.0], [422.5, 135.0], [420.5, 181.5], [400.5, 396.0], [563.0, 94.5], [540.0, 332.5], [545.5, 396.0]]"
45,"I= Eedi
Ⓒ Eedi 2018
A
-7.4
Which number is 5 greater than -2.6?
B
2.6
2.4
D
-2.1
VA","[[48.0, 20.0], [41.0, 465.0], [93.5, 283.0], [88.0, 342.0], [309.0, 148.5], [242.5, 283.0], [244.0, 341.5], [388.5, 338.5], [540.5, 282.5], [542.0, 341.5], [619.0, 21.0]]"
46,"I= Eedi
-12
Ⓒ Eedi 2018
Tom says:
Double negative six is
negative twelve.
2 x (-6)= -12
A
Tom and Katie are trying to write calculations
based on the diagram on the left.
Only
Tom
B
Only
Katie
Katie says:
One half of negative 12 is
negative 6.
(-12)+
1
2
=-6
C
Both Tom
and Katie
Whose
calculation is
correct?
D
Neither is
correct","[[48.5, 20.5], [108.0, 72.0], [41.0, 465.0], [120.0, 201.0], [93.0, 332.0], [391.0, 88.0], [93.0, 396.0], [242.0, 332.0], [242.5, 397.0], [373.5, 189.0], [346.5, 250.5], [385.0, 250.0], [411.5, 250.5], [392.5, 333.0], [393.5, 396.5], [562.5, 223.5], [540.0, 332.5], [545.5, 396.0]]"
47,"I= Eedi
Ⓒ Eedi 2018
A
132⁰
48°
B
n°
What is the size of angle n?
142°
30°
102°
[not to scale]
D
312⁰
VA","[[48.5, 20.0], [41.0, 465.0], [92.5, 327.0], [93.0, 379.0], [221.0, 168.5], [242.5, 326.5], [299.5, 157.5], [319.0, 246.5], [248.5, 377.0], [402.0, 181.5], [394.5, 378.0], [569.5, 191.0], [540.0, 326.5], [540.0, 376.0], [619.0, 21.5]]"
48,"I= Eedi
7
6
5
4
3
2
1
0
Ⓒ Eedi 2018
1
A
(2,4)
A
2
4
5
B
6
(6,6)
7
Point A is reflected in the line
y = 4.
What are the coordinates of
the new point?
(2, 2)
KX1
D
(2,1)","[[48.0, 20.0], [53.0, 96.0], [52.5, 130.0], [53.5, 163.0], [53.5, 195.5], [54.0, 229.0], [53.0, 261.0], [53.0, 294.5], [52.5, 335.0], [40.5, 465.0], [93.0, 334.0], [96.5, 374.0], [94.0, 424.5], [132.0, 119.0], [126.0, 335.0], [192.5, 334.0], [225.5, 335.0], [246.0, 374.0], [258.0, 335.0], [245.0, 423.5], [291.5, 334.0], [487.75, 139.0], [487.5, 217.5], [394.5, 423.5], [607.5, 21.5], [544.0, 373.5], [543.0, 423.0]]"
49,"I= Eedi
© 2018
Tom and Katie are arguing about angle relationships on
parallel lines.
Only
Tom
Tom says allied (co-interior) angles are equal.
Katie says corresponding angles are equal.
Who is correct?
B
Only
Katie
Both Tom
and Katie
D
Neither is
correct
AKO","[[23.0, 10.5], [19.5, 232.5], [159.0, 47.5], [46.5, 197.0], [159.0, 105.0], [121.0, 166.0], [120.5, 198.5], [199.0, 198.0], [270.5, 166.0], [273.0, 197.0], [308.5, 12.5]]"
50,"I= Eedi
Tom and Katie are arguing about -5 and 3.
Tom says: -5>3
Katie says: the absolute value of -5 is greater than the absolute
value of 3
Ⓒ Eedi 2018
A
Only
Tom
B
Who is correct?
Only
Katie
Both Tom
and Katie
D
Neither is
correct","[[48.0, 20.0], [326.0, 136.5], [41.0, 465.0], [93.0, 332.0], [93.0, 396.0], [242.0, 332.0], [324.5, 250.5], [242.5, 397.0], [393.0, 396.0], [540.0, 332.5], [545.5, 396.0]]"
51,"I= Eedi
Here is the 1st shape in a sequence:
Which of the following expressions would correctly give the
number of dots in the nth shape in the sequence?
A
4n 1
Ⓒ Eedi 2018
B
Here is the 4th shape:
4n + 1
n + 4
D
n+ 1","[[48.5, 20.5], [176.5, 73.5], [312.0, 251.5], [92.5, 342.0], [90.5, 394.5], [41.0, 465.0], [242.0, 342.0], [462.0, 72.0], [240.5, 394.5], [392.5, 394.5], [540.0, 341.5], [539.0, 395.0]]"
52,"I= Eedi
Ⓒ Eedi 2018
In which region does 6 belong?
Factors of 30
A
B
Multiples of 12
C
D","[[48.0, 20.0], [41.0, 465.0], [316.5, 96.0], [188.5, 205.0], [168.5, 257.0], [304.5, 259.5], [407.0, 205.5], [413.5, 260.5], [576.5, 260.5]]"
53,"I= Eedi
Amal is trying to work out the
answer to 88 x 15
Lines 1 and 2 of her working out
are shown.
Which of the following possible
next steps would help to make
this calculation easier?
A
(22 x 60)
Ⓒ Eedi 2018
B
(11 x 2) × (19)
88 x 15
Line 1: (11 x 8) × 15
Line 2: = (11 x 2 x 4) x 15
C
(11 x 2) × (4 x 15)
D
(11 x 15) × (2 × 4)","[[152.5, 54.0], [162.0, 151.5], [161.5, 240.0], [93.5, 332.0], [92.0, 386.0], [41.0, 465.0], [242.0, 332.0], [244.0, 385.5], [457.5, 126.0], [391.0, 332.0], [392.5, 385.5], [540.5, 332.5], [554.0, 386.5]]"
54,"I= Eedi
Jo and Paul are talking about equations they
can write based on the equation on the right.
Jo says you could write: 4c - 12 = d - 4
Paul says you could write: 12c = 4d
Who is correct?
Ⓒ Eedi 2018
A
Only
Jo
B
Only
Paul
O
Both Jo
and Paul
4c = d
D
Neither is
correct","[[48.5, 20.0], [225.0, 167.0], [41.0, 465.0], [93.0, 332.0], [93.0, 395.0], [242.5, 332.5], [242.0, 397.0], [393.0, 332.0], [400.5, 396.0], [537.0, 125.0], [540.0, 332.5], [545.5, 396.0]]"
55,"I= Eedi
This is a number from the
Mayan number system.
What number is it?
Ⓒ Eedi 2018
A
6
B
110
60
120","[[48.5, 21.0], [175.5, 145.5], [41.0, 465.0], [93.0, 283.0], [94.5, 348.0], [242.5, 283.0], [243.0, 347.5], [390.5, 346.5], [540.5, 347.5]]"
56,"I= Eedi
Ⓒ Eedi 2018
If these two dashed lines are parallel, what size must
angle q be?
A
125°
125°
B
65°
55°
[not to scale]
Not enough
information","[[48.0, 20.0], [41.0, 465.0], [319.0, 289.0], [92.5, 365.5], [161.0, 142.0], [92.0, 417.5], [242.5, 366.5], [243.0, 419.0], [391.0, 418.0], [604.5, 59.0], [542.0, 417.0]]"
57,"I= Eedi
Ⓒ Eedi 2018
A
0.64
a = 0.6
What is the value of ab?
B
b = 0.4
0.24
1.0
D
2.4","[[48.5, 20.5], [41.0, 465.0], [93.0, 283.0], [95.5, 341.0], [247.0, 90.0], [322.0, 154.5], [242.5, 283.0], [390.5, 89.0], [239.0, 343.0], [393.0, 341.5], [540.5, 282.5], [540.0, 343.0]]"
58,"I= Eedi
Ⓒ Eedi 2018
A
5
12
сл
What fraction of a full circle is a 150° sector?
B
1
3
1
150
D
1
15
VA","[[48.0, 20.0], [41.0, 465.0], [93.0, 291.0], [94.0, 358.5], [93.0, 347.0], [319.0, 139.0], [242.5, 291.0], [242.0, 360.0], [391.5, 360.5], [540.5, 290.5], [539.0, 360.5], [619.0, 21.0]]"
59,"I= Eedi
The shaded numbers on this
grid are the multiples of...
Ⓒ Eedi 2018
A
2
B
4
1
2 3 4 5 6
11 12
7
8 9 10
13
14 15 16 17 18
19 20
21 22 23 24
25 26
27
28 29 30
31 32 33
34 35 36
37 38 39 40 41 42
43 44 45 46 47 48
49 50 51 52 53 54
55 56 57 58 59 60
8
D
12
VA","[[48.0, 21.0], [175.0, 139.0], [41.0, 465.0], [92.5, 327.0], [93.5, 391.0], [242.5, 327.0], [241.5, 391.0], [427.0, 144.5], [392.0, 390.5], [541.5, 326.5], [538.5, 391.0], [619.0, 21.5]]"
